state_fips,state_abbr,state,year,aqi_median,aqi_days
27,MN,Minnesota,2016,32.05,335.45
28,MS,Mississippi,2016,41.54545454545455,287.8181818181818
29,MO,Missouri,2016,40.80952380952381,290.2857142857143
30,MT,Montana,2016,30.68421052631579,307.94736842105266
31,NE,Nebraska,2016,29.6,212.8
32,NV,Nevada,2016,38.55555555555556,356.55555555555554
33,NH,New Hampshire,2016,37.285714285714285,349.14285714285717
34,NJ,New Jersey,2016,44.375,344.4375
35,NM,New Mexico,2016,32.25,284.75
36,NY,New York,2016,37.41379310344828,351.7586206896552
37,NC,North Carolina,2016,42.30555555555556,295.6388888888889
38,ND,North Dakota,2016,30.9,362.7
39,OH,Ohio,2016,41.666666666666664,305.84615384615387
40,OK,Oklahoma,2016,38.12,320.68
41,OR,Oregon,2016,30.0,343.45454545454544
42,PA,Pennsylvania,2016,45.567567567567565,360.6756756756757
00,NA,Puerto Rico,2016,22.0,232.36363636363637
44,RI,Rhode Island,2016,40.666666666666664,360.3333333333333
45,SC,South Carolina,2016,40.5,294.0
46,SD,South Dakota,2016,33.5,339.6
47,TN,Tennessee,2016,41.0,239.41666666666666
48,TX,Texas,2016,40.19047619047619,343.42857142857144
49,UT,Utah,2016,41.07142857142857,325.2142857142857
50,VT,Vermont,2016,31.0,301.5
00,NA,Virgin Islands,2016,36.0,57.5
51,VA,Virginia,2016,32.705882352941174,254.85294117647058
53,WA,Washington,2016,29.689655172413794,348.7586206896552
54,WV,West Virginia,2016,38.785714285714285,272.57142857142856
55,WI,Wisconsin,2016,37.851851851851855,282.9259259259259
56,WY,Wyoming,2016,37.833333333333336,329.3888888888889
01,AL,Alabama,2017,42.888888888888886,286.44444444444446
02,AK,Alaska,2017,25.428571428571427,285.14285714285717
04,AZ,Arizona,2017,45.30769230769231,362.0
05,AR,Arkansas,2017,44.09090909090909,274.72727272727275
06,CA,California,2017,52.56603773584906,357.3207547169811
08,CO,Colorado,2017,37.4375,292.84375
09,CT,Connecticut,2017,40.625,322.625
00,NA,Country Of Mexico,2017,52.0,285.0
10,DE,Delaware,2017,45.333333333333336,363.6666666666667
11,DC,District Of Columbia,2017,56.0,365.0
12,FL,Florida,2017,41.41025641025641,353.5128205128205
13,GA,Georgia,2017,43.25806451612903,274.6774193548387
15,HI,Hawaii,2017,33.25,363.25
16,ID,Idaho,2017,35.8,334.15
17,IL,Illinois,2017,44.17391304347826,334.39130434782606
18,IN,Indiana,2017,42.473684210526315,293.36842105263156
